time,latitud,longitud,RRR24_Valor,Traza_Valor,CodigoNacional,nombreEstacion
2017-02-11 12:00:00,-40.61444,-73.0575,0.0,0.0,400009.0,"Cañal Bajo,  Osorno Ad."
2017-02-12 12:00:00,-40.61444,-73.0575,0.0,0.0,400009.0,"Cañal Bajo,  Osorno Ad."
2017-02-13 12:00:00,-40.61444,-73.0575,0.0,0.0,400009.0,"Cañal Bajo,  Osorno Ad."
2017-02-14 12:00:00,-40.61444,-73.0575,0.0,0.0,400009.0,"Cañal Bajo,  Osorno Ad."
2017-02-15 12:00:00,-40.61444,-73.0575,0.0,0.0,400009.0,"Cañal Bajo,  Osorno Ad."
2017-02-16 12:00:00,-40.61444,-73.0575,0.0,0.0,400009.0,"Cañal Bajo,  Osorno Ad."
2017-02-17 12:00:00,-40.61444,-73.0575,19.3,0.0,400009.0,"Cañal Bajo,  Osorno Ad."
2017-02-18 12:00:00,-40.61444,-73.0575,17.3,0.0,400009.0,"Cañal Bajo,  Osorno Ad."
2017-02-19 12:00:00,-40.61444,-73.0575,4.5,0.0,400009.0,"Cañal Bajo,  Osorno Ad."
2017-02-20 12:00:00,-40.61444,-73.0575,6.0,0.0,400009.0,"Cañal Bajo,  Osorno Ad."
2017-02-21 12:00:00,-40.61444,-73.0575,3.3,0.0,400009.0,"Cañal Bajo,  Osorno Ad."
2017-02-22 12:00:00,-40.61444,-73.0575,0.0,0.0,400009.0,"Cañal Bajo,  Osorno Ad."
2017-02-23 12:00:00,-40.61444,-73.0575,0.0,0.0,400009.0,"Cañal Bajo,  Osorno Ad."
2017-02-24 12:00:00,-40.61444,-73.0575,0.0,0.0,400009.0,"Cañal Bajo,  Osorno Ad."
2017-02-25 12:00:00,-40.61444,-73.0575,0.0,0.0,400009.0,"Cañal Bajo,  Osorno Ad."
2017-02-26 12:00:00,-40.61444,-73.0575,0.0,0.0,400009.0,"Cañal Bajo,  Osorno Ad."
2017-02-27 12:00:00,-40.61444,-73.0575,0.0,0.0,400009.0,"Cañal Bajo,  Osorno Ad."
2017-02-28 12:00:00,-40.61444,-73.0575,0.0,0.0,400009.0,"Cañal Bajo,  Osorno Ad."
2017-03-01 12:00:00,-40.61444,-73.0575,23.4,0.0,400009.0,"Cañal Bajo,  Osorno Ad."
2017-03-02 12:00:00,-40.61444,-73.0575,3.8,0.0,400009.0,"Cañal Bajo,  Osorno Ad."
2017-03-03 12:00:00,-40.61444,-73.0575,0.3,0.0,400009.0,"Cañal Bajo,  Osorno Ad."
2017-03-04 12:00:00,-40.61444,-73.0575,0.0,0.0,400009.0,"Cañal Bajo,  Osorno Ad."
2017-03-05 12:00:00,-40.61444,-73.0575,0.0,0.0,400009.0,"Cañal Bajo,  Osorno Ad."
2017-03-06 12:00:00,-40.61444,-73.0575,0.0,0.0,400009.0,"Cañal Bajo,  Osorno Ad."
2017-03-07 12:00:00,-40.61444,-73.0575,0.0,0.0,400009.0,"Cañal Bajo,  Osorno Ad."
2017-03-08 12:00:00,-40.61444,-73.0575,13.5,0.0,400009.0,"Cañal Bajo,  Osorno Ad."
2017-03-09 12:00:00,-40.61444,-73.0575,3.4,0.0,400009.0,"Cañal Bajo,  Osorno Ad."
2017-03-10 12:00:00,-40.61444,-73.0575,2.4,0.0,400009.0,"Cañal Bajo,  Osorno Ad."
2017-03-11 12:00:00,-40.61444,-73.0575,4.2,0.0,400009.0,"Cañal Bajo,  Osorno Ad."
2017-03-12 12:00:00,-40.61444,-73.0575,12.8,0.0,400009.0,"Cañal Bajo,  Osorno Ad."
2017-03-13 12:00:00,-40.61444,-73.0575,0.0,0.0,400009.0,"Cañal Bajo,  Osorno Ad."
2017-03-14 12:00:00,-40.61444,-73.0575,0.0,0.0,400009.0,"Cañal Bajo,  Osorno Ad."
2017-03-15 12:00:00,-40.61444,-73.0575,0.0,0.0,400009.0,"Cañal Bajo,  Osorno Ad."
2017-03-16 12:00:00,-40.61444,-73.0575,0.0,0.0,400009.0,"Cañal Bajo,  Osorno Ad."
2017-03-17 12:00:00,-40.61444,-73.0575,0.0,0.0,400009.0,"Cañal Bajo,  Osorno Ad."
2017-03-18 12:00:00,-40.61444,-73.0575,0.0,0.0,400009.0,"Cañal Bajo,  Osorno Ad."
2017-03-19 12:00:00,-40.61444,-73.0575,0.0,0.0,400009.0,"Cañal Bajo,  Osorno Ad."
2017-03-20 12:00:00,-40.61444,-73.0575,0.0,0.0,400009.0,"Cañal Bajo,  Osorno Ad."
2017-03-21 12:00:00,-40.61444,-73.0575,0.0,0.0,400009.0,"Cañal Bajo,  Osorno Ad."
2017-03-22 12:00:00,-40.61444,-73.0575,0.0,0.0,400009.0,"Cañal Bajo,  Osorno Ad."
2017-03-23 12:00:00,-40.61444,-73.0575,0.0,0.0,400009.0,"Cañal Bajo,  Osorno Ad."
2017-03-24 12:00:00,-40.61444,-73.0575,0.0,0.0,400009.0,"Cañal Bajo,  Osorno Ad."
2017-03-25 12:00:00,-40.61444,-73.0575,0.0,0.0,400009.0,"Cañal Bajo,  Osorno Ad."
2017-03-26 12:00:00,-40.61444,-73.0575,3.3,0.0,400009.0,"Cañal Bajo,  Osorno Ad."
2017-03-27 12:00:00,-40.61444,-73.0575,0.9,0.0,400009.0,"Cañal Bajo,  Osorno Ad."
2017-03-28 12:00:00,-40.61444,-73.0575,0.0,0.0,400009.0,"Cañal Bajo,  Osorno Ad."
2017-03-29 12:00:00,-40.61444,-73.0575,0.0,0.0,400009.0,"Cañal Bajo,  Osorno Ad."
2017-03-30 12:00:00,-40.61444,-73.0575,1.4,0.0,400009.0,"Cañal Bajo,  Osorno Ad."
2017-03-31 12:00:00,-40.61444,-73.0575,0.0,0.0,400009.0,"Cañal Bajo,  Osorno Ad."
2017-04-01 12:00:00,-40.61444,-73.0575,0.0,0.0,400009.0,"Cañal Bajo,  Osorno Ad."
2017-04-02 12:00:00,-40.61444,-73.0575,0.0,0.0,400009.0,"Cañal Bajo,  Osorno Ad."
2017-04-03 12:00:00,-40.61444,-73.0575,0.7,0.0,400009.0,"Cañal Bajo,  Osorno Ad."
2017-04-04 12:00:00,-40.61444,-73.0575,3.1,0.0,400009.0,"Cañal Bajo,  Osorno Ad."
2017-04-05 12:00:00,-40.61444,-73.0575,2.4,0.0,400009.0,"Cañal Bajo,  Osorno Ad."
2017-04-06 12:00:00,-40.61444,-73.0575,,,400009.0,"Cañal Bajo,  Osorno Ad."
2017-04-07 12:00:00,-40.61444,-73.0575,29.5,0.0,400009.0,"Cañal Bajo,  Osorno Ad."
2017-04-08 12:00:00,-40.61444,-73.0575,7.0,0.0,400009.0,"Cañal Bajo,  Osorno Ad."
2017-04-09 12:00:00,-40.61444,-73.0575,0.0,0.0,400009.0,"Cañal Bajo,  Osorno Ad."
2017-04-10 12:00:00,-40.61444,-73.0575,0.0,0.0,400009.0,"Cañal Bajo,  Osorno Ad."
2017-04-11 12:00:00,-40.61444,-73.0575,0.0,1.0,400009.0,"Cañal Bajo,  Osorno Ad."
2017-04-12 12:00:00,-40.61444,-73.0575,0.0,0.0,400009.0,"Cañal Bajo,  Osorno Ad."
2017-04-13 12:00:00,-40.61444,-73.0575,0.0,0.0,400009.0,"Cañal Bajo,  Osorno Ad."
2017-04-14 12:00:00,-40.61444,-73.0575,0.0,0.0,400009.0,"Cañal Bajo,  Osorno Ad."
2017-04-15 12:00:00,-40.61444,-73.0575,0.0,0.0,400009.0,"Cañal Bajo,  Osorno Ad."
2017-04-16 12:00:00,-40.61444,-73.0575,0.0,0.0,400009.0,"Cañal Bajo,  Osorno Ad."
2017-04-17 12:00:00,-40.61444,-73.0575,0.0,0.0,400009.0,"Cañal Bajo,  Osorno Ad."
2017-04-18 12:00:00,-40.61444,-73.0575,0.0,0.0,400009.0,"Cañal Bajo,  Osorno Ad."
2017-04-19 12:00:00,-40.61444,-73.0575,0.9,0.0,400009.0,"Cañal Bajo,  Osorno Ad."
2017-04-20 12:00:00,-40.61444,-73.0575,9.8,0.0,400009.0,"Cañal Bajo,  Osorno Ad."
2017-04-21 12:00:00,-40.61444,-73.0575,6.5,0.0,400009.0,"Cañal Bajo,  Osorno Ad."
2017-04-22 12:00:00,-40.61444,-73.0575,4.4,0.0,400009.0,"Cañal Bajo,  Osorno Ad."
2017-04-23 12:00:00,-40.61444,-73.0575,0.0,0.0,400009.0,"Cañal Bajo,  Osorno Ad."
2017-04-24 12:00:00,-40.61444,-73.0575,0.7,0.0,400009.0,"Cañal Bajo,  Osorno Ad."
2017-04-25 12:00:00,-40.61444,-73.0575,8.7,0.0,400009.0,"Cañal Bajo,  Osorno Ad."
2017-04-26 12:00:00,-40.61444,-73.0575,1.6,0.0,400009.0,"Cañal Bajo,  Osorno Ad."
2017-04-27 12:00:00,-40.61444,-73.0575,2.0,0.0,400009.0,"Cañal Bajo,  Osorno Ad."
2017-04-28 12:00:00,-40.61444,-73.0575,6.4,0.0,400009.0,"Cañal Bajo,  Osorno Ad."
2017-04-29 12:00:00,-40.61444,-73.0575,0.7,0.0,400009.0,"Cañal Bajo,  Osorno Ad."
2017-04-30 12:00:00,-40.61444,-73.0575,0.0,0.0,400009.0,"Cañal Bajo,  Osorno Ad."
2017-05-01 12:00:00,-40.61444,-73.0575,0.0,0.0,400009.0,"Cañal Bajo,  Osorno Ad."
2017-05-02 12:00:00,-40.61444,-73.0575,6.4,0.0,400009.0,"Cañal Bajo,  Osorno Ad."
2017-05-03 12:00:00,-40.61444,-73.0575,2.0,0.0,400009.0,"Cañal Bajo,  Osorno Ad."
2017-05-04 12:00:00,-40.61444,-73.0575,12.0,0.0,400009.0,"Cañal Bajo,  Osorno Ad."
2017-05-05 12:00:00,-40.61444,-73.0575,6.6,0.0,400009.0,"Cañal Bajo,  Osorno Ad."
2017-05-06 12:00:00,-40.61444,-73.0575,38.4,0.0,400009.0,"Cañal Bajo,  Osorno Ad."
2017-05-07 12:00:00,-40.61444,-73.0575,27.8,0.0,400009.0,"Cañal Bajo,  Osorno Ad."
2017-05-08 12:00:00,-40.61444,-73.0575,2.3,0.0,400009.0,"Cañal Bajo,  Osorno Ad."
2017-05-09 12:00:00,-40.61444,-73.0575,1.2,0.0,400009.0,"Cañal Bajo,  Osorno Ad."
2017-05-10 12:00:00,-40.61444,-73.0575,0.0,0.0,400009.0,"Cañal Bajo,  Osorno Ad."
2017-05-11 12:00:00,-40.61444,-73.0575,5.9,0.0,400009.0,"Cañal Bajo,  Osorno Ad."
2017-05-12 12:00:00,-40.61444,-73.0575,3.4,0.0,400009.0,"Cañal Bajo,  Osorno Ad."
2017-05-13 12:00:00,-40.61444,-73.0575,0.1,0.0,400009.0,"Cañal Bajo,  Osorno Ad."
2017-05-14 12:00:00,-40.61444,-73.0575,19.5,0.0,400009.0,"Cañal Bajo,  Osorno Ad."
2017-05-15 12:00:00,-40.61444,-73.0575,0.0,0.0,400009.0,"Cañal Bajo,  Osorno Ad."
2017-05-16 12:00:00,-40.61444,-73.0575,0.4,0.0,400009.0,"Cañal Bajo,  Osorno Ad."
2017-05-17 12:00:00,-40.61444,-73.0575,40.7,0.0,400009.0,"Cañal Bajo,  Osorno Ad."
2017-05-18 12:00:00,-40.61444,-73.0575,0.7,0.0,400009.0,"Cañal Bajo,  Osorno Ad."
2017-05-19 12:00:00,-40.61444,-73.0575,,,400009.0,"Cañal Bajo,  Osorno Ad."
2017-05-20 12:00:00,-40.61444,-73.0575,0.0,0.0,400009.0,"Cañal Bajo,  Osorno Ad."
2017-05-21 12:00:00,-40.61444,-73.0575,7.8,0.0,400009.0,"Cañal Bajo,  Osorno Ad."
2017-05-22 12:00:00,-40.61444,-73.0575,7.7,0.0,400009.0,"Cañal Bajo,  Osorno Ad."
2017-05-23 12:00:00,-40.61444,-73.0575,,,400009.0,"Cañal Bajo,  Osorno Ad."
2017-05-24 12:00:00,-40.61444,-73.0575,0.0,0.0,400009.0,"Cañal Bajo,  Osorno Ad."
2017-05-25 12:00:00,-40.61444,-73.0575,,,400009.0,"Cañal Bajo,  Osorno Ad."
2017-05-26 12:00:00,-40.61444,-73.0575,1.0,0.0,400009.0,"Cañal Bajo,  Osorno Ad."
2017-05-27 12:00:00,-40.61444,-73.0575,0.2,0.0,400009.0,"Cañal Bajo,  Osorno Ad."
2017-05-28 12:00:00,-40.61444,-73.0575,0.0,0.0,400009.0,"Cañal Bajo,  Osorno Ad."
2017-05-29 12:00:00,-40.61444,-73.0575,0.0,0.0,400009.0,"Cañal Bajo,  Osorno Ad."
2017-05-30 12:00:00,-40.61444,-73.0575,0.0,0.0,400009.0,"Cañal Bajo,  Osorno Ad."
2017-05-31 12:00:00,-40.61444,-73.0575,0.8,0.0,400009.0,"Cañal Bajo,  Osorno Ad."
2017-06-01 12:00:00,-40.61444,-73.0575,0.0,0.0,400009.0,"Cañal Bajo,  Osorno Ad."
2017-06-02 12:00:00,-40.61444,-73.0575,0.0,0.0,400009.0,"Cañal Bajo,  Osorno Ad."
2017-06-03 12:00:00,-40.61444,-73.0575,20.4,0.0,400009.0,"Cañal Bajo,  Osorno Ad."
2017-06-04 12:00:00,-40.61444,-73.0575,4.2,0.0,400009.0,"Cañal Bajo,  Osorno Ad."
2017-06-05 12:00:00,-40.61444,-73.0575,1.7,0.0,400009.0,"Cañal Bajo,  Osorno Ad."
2017-06-06 12:00:00,-40.61444,-73.0575,0.0,0.0,400009.0,"Cañal Bajo,  Osorno Ad."
2017-06-07 12:00:00,-40.61444,-73.0575,4.8,0.0,400009.0,"Cañal Bajo,  Osorno Ad."
2017-06-08 12:00:00,-40.61444,-73.0575,1.1,0.0,400009.0,"Cañal Bajo,  Osorno Ad."
2017-06-09 12:00:00,-40.61444,-73.0575,2.6,0.0,400009.0,"Cañal Bajo,  Osorno Ad."
2017-06-10 12:00:00,-40.61444,-73.0575,0.8,0.0,400009.0,"Cañal Bajo,  Osorno Ad."
2017-06-11 12:00:00,-40.61444,-73.0575,1.2,0.0,400009.0,"Cañal Bajo,  Osorno Ad."
2017-06-12 12:00:00,-40.61444,-73.0575,0.9,0.0,400009.0,"Cañal Bajo,  Osorno Ad."
2017-06-13 12:00:00,-40.61444,-73.0575,4.2,0.0,400009.0,"Cañal Bajo,  Osorno Ad."
2017-06-14 12:00:00,-40.61444,-73.0575,0.0,0.0,400009.0,"Cañal Bajo,  Osorno Ad."
2017-06-15 12:00:00,-40.61444,-73.0575,41.6,0.0,400009.0,"Cañal Bajo,  Osorno Ad."
2017-06-16 12:00:00,-40.61444,-73.0575,53.7,0.0,400009.0,"Cañal Bajo,  Osorno Ad."
2017-06-17 12:00:00,-40.61444,-73.0575,0.6,0.0,400009.0,"Cañal Bajo,  Osorno Ad."
2017-06-18 12:00:00,-40.61444,-73.0575,0.0,0.0,400009.0,"Cañal Bajo,  Osorno Ad."
2017-06-19 12:00:00,-40.61444,-73.0575,0.0,0.0,400009.0,"Cañal Bajo,  Osorno Ad."
2017-06-20 12:00:00,-40.61444,-73.0575,0.0,0.0,400009.0,"Cañal Bajo,  Osorno Ad."
2017-06-21 12:00:00,-40.61444,-73.0575,15.6,0.0,400009.0,"Cañal Bajo,  Osorno Ad."
2017-06-22 12:00:00,-40.61444,-73.0575,11.8,0.0,400009.0,"Cañal Bajo,  Osorno Ad."
2017-06-23 12:00:00,-40.61444,-73.0575,5.0,0.0,400009.0,"Cañal Bajo,  Osorno Ad."
2017-06-24 12:00:00,-40.61444,-73.0575,2.3,0.0,400009.0,"Cañal Bajo,  Osorno Ad."
2017-06-25 12:00:00,-40.61444,-73.0575,20.8,0.0,400009.0,"Cañal Bajo,  Osorno Ad."
2017-06-26 12:00:00,-40.61444,-73.0575,8.0,0.0,400009.0,"Cañal Bajo,  Osorno Ad."
2017-06-27 12:00:00,-40.61444,-73.0575,0.1,0.0,400009.0,"Cañal Bajo,  Osorno Ad."
2017-06-28 12:00:00,-40.61444,-73.0575,0.0,0.0,400009.0,"Cañal Bajo,  Osorno Ad."
2017-06-29 12:00:00,-40.61444,-73.0575,6.4,0.0,400009.0,"Cañal Bajo,  Osorno Ad."
2017-06-30 12:00:00,-40.61444,-73.0575,5.6,0.0,400009.0,"Cañal Bajo,  Osorno Ad."
2017-07-01 12:00:00,-40.61444,-73.0575,1.5,0.0,400009.0,"Cañal Bajo,  Osorno Ad."
2017-07-02 12:00:00,-40.61444,-73.0575,0.0,0.0,400009.0,"Cañal Bajo,  Osorno Ad."
2017-07-03 12:00:00,-40.61444,-73.0575,1.4,0.0,400009.0,"Cañal Bajo,  Osorno Ad."
2017-07-04 12:00:00,-40.61444,-73.0575,4.0,0.0,400009.0,"Cañal Bajo,  Osorno Ad."
2017-07-05 12:00:00,-40.61444,-73.0575,0.0,0.0,400009.0,"Cañal Bajo,  Osorno Ad."
2017-07-06 12:00:00,-40.61444,-73.0575,8.6,0.0,400009.0,"Cañal Bajo,  Osorno Ad."
2017-07-07 12:00:00,-40.61444,-73.0575,0.3,0.0,400009.0,"Cañal Bajo,  Osorno Ad."
2017-07-08 12:00:00,-40.61444,-73.0575,0.7,0.0,400009.0,"Cañal Bajo,  Osorno Ad."
2017-07-09 12:00:00,-40.61444,-73.0575,5.7,0.0,400009.0,"Cañal Bajo,  Osorno Ad."
2017-07-10 12:00:00,-40.61444,-73.0575,2.4,0.0,400009.0,"Cañal Bajo,  Osorno Ad."
2017-07-11 12:00:00,-40.61444,-73.0575,0.0,0.0,400009.0,"Cañal Bajo,  Osorno Ad."
2017-07-12 12:00:00,-40.61444,-73.0575,0.0,0.0,400009.0,"Cañal Bajo,  Osorno Ad."
2017-07-13 12:00:00,-40.61444,-73.0575,2.6,0.0,400009.0,"Cañal Bajo,  Osorno Ad."
2017-07-14 12:00:00,-40.61444,-73.0575,9.4,0.0,400009.0,"Cañal Bajo,  Osorno Ad."
2017-07-15 12:00:00,-40.61444,-73.0575,10.9,0.0,400009.0,"Cañal Bajo,  Osorno Ad."
2017-07-16 12:00:00,-40.61444,-73.0575,0.0,0.0,400009.0,"Cañal Bajo,  Osorno Ad."
2017-07-17 12:00:00,-40.61444,-73.0575,0.0,0.0,400009.0,"Cañal Bajo,  Osorno Ad."
2017-07-18 12:00:00,-40.61444,-73.0575,0.0,0.0,400009.0,"Cañal Bajo,  Osorno Ad."
2017-07-19 12:00:00,-40.61444,-73.0575,0.0,0.0,400009.0,"Cañal Bajo,  Osorno Ad."
2017-07-20 12:00:00,-40.61444,-73.0575,9.6,0.0,400009.0,"Cañal Bajo,  Osorno Ad."
2017-07-21 12:00:00,-40.61444,-73.0575,0.0,0.0,400009.0,"Cañal Bajo,  Osorno Ad."
2017-07-22 12:00:00,-40.61444,-73.0575,1.0,0.0,400009.0,"Cañal Bajo,  Osorno Ad."
2017-07-23 12:00:00,-40.61444,-73.0575,12.8,0.0,400009.0,"Cañal Bajo,  Osorno Ad."
2017-07-24 12:00:00,-40.61444,-73.0575,5.3,0.0,400009.0,"Cañal Bajo,  Osorno Ad."
2017-07-25 12:00:00,-40.61444,-73.0575,0.0,0.0,400009.0,"Cañal Bajo,  Osorno Ad."
2017-07-26 12:00:00,-40.61444,-73.0575,0.0,0.0,400009.0,"Cañal Bajo,  Osorno Ad."
2017-07-27 12:00:00,-40.61444,-73.0575,6.0,0.0,400009.0,"Cañal Bajo,  Osorno Ad."
2017-07-28 12:00:00,-40.61444,-73.0575,9.8,0.0,400009.0,"Cañal Bajo,  Osorno Ad."
2017-07-29 12:00:00,-40.61444,-73.0575,2.7,0.0,400009.0,"Cañal Bajo,  Osorno Ad."
2017-07-30 12:00:00,-40.61444,-73.0575,0.0,0.0,400009.0,"Cañal Bajo,  Osorno Ad."
2017-07-31 12:00:00,-40.61444,-73.0575,0.0,0.0,400009.0,"Cañal Bajo,  Osorno Ad."
2017-08-01 12:00:00,-40.61444,-73.0575,0.0,0.0,400009.0,"Cañal Bajo,  Osorno Ad."
2017-08-02 12:00:00,-40.61444,-73.0575,0.0,0.0,400009.0,"Cañal Bajo,  Osorno Ad."
2017-08-03 12:00:00,-40.61444,-73.0575,0.0,0.0,400009.0,"Cañal Bajo,  Osorno Ad."
2017-08-04 12:00:00,-40.61444,-73.0575,0.0,0.0,400009.0,"Cañal Bajo,  Osorno Ad."
2017-08-05 12:00:00,-40.61444,-73.0575,3.5,0.0,400009.0,"Cañal Bajo,  Osorno Ad."
2017-08-06 12:00:00,-40.61444,-73.0575,13.1,0.0,400009.0,"Cañal Bajo,  Osorno Ad."
2017-08-07 12:00:00,-40.61444,-73.0575,1.0,0.0,400009.0,"Cañal Bajo,  Osorno Ad."
2017-08-08 12:00:00,-40.61444,-73.0575,10.9,0.0,400009.0,"Cañal Bajo,  Osorno Ad."
2017-08-09 12:00:00,-40.61444,-73.0575,29.1,0.0,400009.0,"Cañal Bajo,  Osorno Ad."
2017-08-10 12:00:00,-40.61444,-73.0575,0.0,0.0,400009.0,"Cañal Bajo,  Osorno Ad."
2017-08-11 12:00:00,-40.61444,-73.0575,12.4,0.0,400009.0,"Cañal Bajo,  Osorno Ad."
2017-08-12 12:00:00,-40.61444,-73.0575,0.9,0.0,400009.0,"Cañal Bajo,  Osorno Ad."
2017-08-13 12:00:00,-40.61444,-73.0575,27.3,0.0,400009.0,"Cañal Bajo,  Osorno Ad."
2017-08-14 12:00:00,-40.61444,-73.0575,10.3,0.0,400009.0,"Cañal Bajo,  Osorno Ad."
2017-08-15 12:00:00,-40.61444,-73.0575,4.1,0.0,400009.0,"Cañal Bajo,  Osorno Ad."
2017-08-16 12:00:00,-40.61444,-73.0575,0.6,0.0,400009.0,"Cañal Bajo,  Osorno Ad."
2017-08-17 12:00:00,-40.61444,-73.0575,0.9,0.0,400009.0,"Cañal Bajo,  Osorno Ad."
2017-08-18 12:00:00,-40.61444,-73.0575,19.5,0.0,400009.0,"Cañal Bajo,  Osorno Ad."
2017-08-19 12:00:00,-40.61444,-73.0575,4.9,0.0,400009.0,"Cañal Bajo,  Osorno Ad."
2017-08-20 12:00:00,-40.61444,-73.0575,1.7,0.0,400009.0,"Cañal Bajo,  Osorno Ad."
2017-08-21 12:00:00,-40.61444,-73.0575,0.0,0.0,400009.0,"Cañal Bajo,  Osorno Ad."
2017-08-22 12:00:00,-40.61444,-73.0575,24.4,0.0,400009.0,"Cañal Bajo,  Osorno Ad."
2017-08-23 12:00:00,-40.61444,-73.0575,4.8,0.0,400009.0,"Cañal Bajo,  Osorno Ad."
2017-08-24 12:00:00,-40.61444,-73.0575,59.1,0.0,400009.0,"Cañal Bajo,  Osorno Ad."
2017-08-25 12:00:00,-40.61444,-73.0575,2.0,0.0,400009.0,"Cañal Bajo,  Osorno Ad."
2017-08-26 12:00:00,-40.61444,-73.0575,4.8,0.0,400009.0,"Cañal Bajo,  Osorno Ad."
2017-08-27 12:00:00,-40.61444,-73.0575,15.0,0.0,400009.0,"Cañal Bajo,  Osorno Ad."
2017-08-28 12:00:00,-40.61444,-73.0575,7.5,0.0,400009.0,"Cañal Bajo,  Osorno Ad."
2017-08-29 12:00:00,-40.61444,-73.0575,0.7,0.0,400009.0,"Cañal Bajo,  Osorno Ad."
2017-08-30 12:00:00,-40.61444,-73.0575,0.0,0.0,400009.0,"Cañal Bajo,  Osorno Ad."
2017-08-31 12:00:00,-40.61444,-73.0575,4.9,0.0,400009.0,"Cañal Bajo,  Osorno Ad."
2017-09-01 12:00:00,-40.61444,-73.0575,47.3,0.0,400009.0,"Cañal Bajo,  Osorno Ad."
2017-09-02 12:00:00,-40.61444,-73.0575,6.8,0.0,400009.0,"Cañal Bajo,  Osorno Ad."
2017-09-03 12:00:00,-40.61444,-73.0575,1.5,0.0,400009.0,"Cañal Bajo,  Osorno Ad."
2017-09-04 12:00:00,-40.61444,-73.0575,1.8,0.0,400009.0,"Cañal Bajo,  Osorno Ad."
2017-09-05 12:00:00,-40.61444,-73.0575,2.5,0.0,400009.0,"Cañal Bajo,  Osorno Ad."
2017-09-06 12:00:00,-40.61444,-73.0575,5.8,0.0,400009.0,"Cañal Bajo,  Osorno Ad."
2017-09-07 12:00:00,-40.61444,-73.0575,0.0,0.0,400009.0,"Cañal Bajo,  Osorno Ad."
2017-09-08 12:00:00,-40.61444,-73.0575,6.7,0.0,400009.0,"Cañal Bajo,  Osorno Ad."
2017-09-09 12:00:00,-40.61444,-73.0575,3.6,0.0,400009.0,"Cañal Bajo,  Osorno Ad."
2017-09-10 12:00:00,-40.61444,-73.0575,0.0,0.0,400009.0,"Cañal Bajo,  Osorno Ad."
2017-09-11 12:00:00,-40.61444,-73.0575,4.1,0.0,400009.0,"Cañal Bajo,  Osorno Ad."
2017-09-12 12:00:00,-40.61444,-73.0575,0.0,0.0,400009.0,"Cañal Bajo,  Osorno Ad."
2017-09-13 12:00:00,-40.61444,-73.0575,0.0,1.0,400009.0,"Cañal Bajo,  Osorno Ad."
2017-09-14 12:00:00,-40.61444,-73.0575,3.8,0.0,400009.0,"Cañal Bajo,  Osorno Ad."
2017-09-15 12:00:00,-40.61444,-73.0575,0.0,0.0,400009.0,"Cañal Bajo,  Osorno Ad."
2017-09-16 12:00:00,-40.61444,-73.0575,0.0,0.0,400009.0,"Cañal Bajo,  Osorno Ad."
2017-09-17 12:00:00,-40.61444,-73.0575,0.0,0.0,400009.0,"Cañal Bajo,  Osorno Ad."
2017-09-18 12:00:00,-40.61444,-73.0575,0.0,0.0,400009.0,"Cañal Bajo,  Osorno Ad."
2017-09-19 12:00:00,-40.61444,-73.0575,0.0,0.0,400009.0,"Cañal Bajo,  Osorno Ad."
2017-09-20 12:00:00,-40.61444,-73.0575,1.6,0.0,400009.0,"Cañal Bajo,  Osorno Ad."
2017-09-21 12:00:00,-40.61444,-73.0575,0.0,0.0,400009.0,"Cañal Bajo,  Osorno Ad."
2017-09-22 12:00:00,-40.61444,-73.0575,0.0,0.0,400009.0,"Cañal Bajo,  Osorno Ad."
2017-09-23 12:00:00,-40.61444,-73.0575,0.0,0.0,400009.0,"Cañal Bajo,  Osorno Ad."
2017-09-24 12:00:00,-40.61444,-73.0575,0.6,0.0,400009.0,"Cañal Bajo,  Osorno Ad."
2017-09-25 12:00:00,-40.61444,-73.0575,0.3,0.0,400009.0,"Cañal Bajo,  Osorno Ad."
2017-09-26 12:00:00,-40.61444,-73.0575,0.0,0.0,400009.0,"Cañal Bajo,  Osorno Ad."
2017-09-27 12:00:00,-40.61444,-73.0575,0.0,0.0,400009.0,"Cañal Bajo,  Osorno Ad."
2017-09-28 12:00:00,-40.61444,-73.0575,0.0,0.0,400009.0,"Cañal Bajo,  Osorno Ad."
2017-09-29 12:00:00,-40.61444,-73.0575,0.0,0.0,400009.0,"Cañal Bajo,  Osorno Ad."
2017-09-30 12:00:00,-40.61444,-73.0575,14.4,0.0,400009.0,"Cañal Bajo,  Osorno Ad."
2017-10-01 12:00:00,-40.61444,-73.0575,7.7,0.0,400009.0,"Cañal Bajo,  Osorno Ad."
2017-10-02 12:00:00,-40.61444,-73.0575,0.7,0.0,400009.0,"Cañal Bajo,  Osorno Ad."
2017-10-03 12:00:00,-40.61444,-73.0575,22.2,0.0,400009.0,"Cañal Bajo,  Osorno Ad."
2017-10-04 12:00:00,-40.61444,-73.0575,14.4,0.0,400009.0,"Cañal Bajo,  Osorno Ad."
2017-10-05 12:00:00,-40.61444,-73.0575,10.7,0.0,400009.0,"Cañal Bajo,  Osorno Ad."
2017-10-06 12:00:00,-40.61444,-73.0575,3.8,0.0,400009.0,"Cañal Bajo,  Osorno Ad."
2017-10-07 12:00:00,-40.61444,-73.0575,0.0,0.0,400009.0,"Cañal Bajo,  Osorno Ad."
2017-10-08 12:00:00,-40.61444,-73.0575,2.4,0.0,400009.0,"Cañal Bajo,  Osorno Ad."
2017-10-09 12:00:00,-40.61444,-73.0575,2.0,0.0,400009.0,"Cañal Bajo,  Osorno Ad."
